n_values,n_threads,virtual,state_type,total_time,avg_time,n_mismatches
5,1,true,Null,0.418770083,4.18770083,0
5,1,true,Synchronized,1.011668292,10.11668292,0
5,1,true,Unsynchronized,0.841542208,8.41542208,0
5,1,false,Null,0.7716585,7.716585,0
5,1,false,Synchronized,1.023945916,10.23945916,0
5,1,false,Unsynchronized,0.913625125,9.13625125,0
5,8,true,Null,0.14421425,11.53714,0
5,8,true,Synchronized,3.777285125,302.18281,0
5,8,true,Unsynchronized,0.973795542,77.90364336,23502
5,8,false,Null,0.15321825,12.25746,0
5,8,false,Synchronized,8.997922375,719.83379,0
5,8,false,Unsynchronized,1.42819625,114.2557,-176531
5,40,true,Null,0.145693709,58.277483600000004,0
5,40,true,Synchronized,5.276603625,2110.64145,0
5,40,true,Unsynchronized,1.783614416,713.4457664,-112834
5,40,false,Null,0.146456458,58.5825832,0
5,40,false,Synchronized,5.552012542,2220.8050168,0
5,40,false,Unsynchronized,2.00150175,800.6007,-71479
100,1,true,Null,0.799405625,7.99405625,0
100,1,true,Synchronized,1.586755417,15.86755417,0
100,1,true,Unsynchronized,0.914984625,9.14984625,0
100,1,false,Null,0.799280792,7.99280792,0
100,1,false,Synchronized,1.585764666,15.85764666,0
100,1,false,Unsynchronized,0.918501917,9.18501917,0
100,8,true,Null,0.170845375,13.66763,0
100,8,true,Synchronized,3.982108917,318.56871336,0
100,8,true,Unsynchronized,1.235259417,98.82075336,10003
100,8,false,Null,0.153531791,12.28254328,0
100,8,false,Synchronized,5.777095625,462.16765,0
100,8,false,Unsynchronized,1.474539583,117.96316664,-10931
100,40,true,Null,0.141393792,56.5575168,0
100,40,true,Synchronized,4.094500167,1637.8000668000002,0
100,40,true,Unsynchronized,1.286613875,514.64555,14457
100,40,false,Null,0.21508325,86.0333,0
100,40,false,Synchronized,5.624925666,2249.9702664,0
100,40,false,Unsynchronized,1.3205055,528.2022,17944
